소품이름,무드,카테고리,사진,상세 제품 링크,Column
MÖRBYLÅNGA 뫼르뷜롱아,"minimal, natural, vintage",테이블,https://www.ikea.com/ext/ingkadam/m/2e3030045b9e6af0/original/PH162751-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/moerbylanga-table-oak-veneer-brown-stained-70386249/,
ODGER 오드게르,"individuality, minimal, modern",의자,https://www.ikea.com/ext/ingkadam/m/2e3030045b9e6af0/original/PH162751-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/odger-chair-anthracite-30457314/,
SINNERLIG 신넬리그,"individuality, romantic, vintage",조명,https://www.ikea.com/ext/ingkadam/m/2e3030045b9e6af0/original/PH162751-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/sinnerlig-pendant-lamp-bamboo-handmade-50342195/,
BESTÅ 베스토,"casual, minimal, modern",수납장,https://www.ikea.com/ext/ingkadam/m/2e3030045b9e6af0/original/PH162751-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/besta-frame-black-brown-30245954/#content,
KNIXHULT 크닉스훌트,"casual, individuality, natural",조명,https://www.ikea.com/ext/ingkadam/m/4a851b433442bdb2/original/PH159745-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/knixhult-pendant-lamp-bamboo-handmade-00407132/,
MALM 말름,"minimal, modern, useful",침대,https://www.ikea.com/ext/ingkadam/m/4a851b433442bdb2/original/PH159745-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/malm-bed-frame-high-white-s89005264/,
EKET 에케트,"minimal, modern, useful",수납장,https://www.ikea.com/ext/ingkadam/m/4a851b433442bdb2/original/PH159745-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/eket-wall-mounted-shelving-unit-white-s99285810/,
PELARBOJ,"individuality, minimal, modern",조명,https://www.ikea.com/ext/ingkadam/m/4c2a58f77a0b1d29/original/PH161725-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/pelarboj-led-table-lamp-multicolour-50423021/,
ARÖD,"minimal, natural, romantic",조명,https://www.ikea.com/ext/ingkadam/m/ee4753dae03ba0c/original/PH164901-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/aroed-floor-reading-lamp-anthracite-60389106/,
LISABO,"minimal, natural, romantic",테이블,https://www.ikea.com/ext/ingkadam/m/ee4753dae03ba0c/original/PH164901-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/lisabo-desk-ash-veneer-10361746/,
ODGER,"minimal, natural, romantic",의자,https://www.ikea.com/ext/ingkadam/m/ee4753dae03ba0c/original/PH164901-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/odger-swivel-chair-white-beige-00395271/,
KNIXHULT,"minimal, natural, romantic",조명,https://www.ikea.com/ext/ingkadam/m/ee4753dae03ba0c/original/PH164901-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/knixhult-table-lamp-bamboo-handmade-40358530/,
SONGESAND 송에산드,"individuality, romantic, vintage",수납장,https://www.ikea.com/ext/ingkadam/m/77d77ef64d94943d/original/PH159252-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/songesand-wardrobe-brown-40375134/,
RÅGRUND 로그룬드,"individuality, natural, useful",의자,https://www.ikea.com/ext/ingkadam/m/77d77ef64d94943d/original/PH159252-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/ragrund-towel-rack-chair-bamboo-60253075/,
SINNERLIG 신넬리그,"casual, individuality, natural",조명,https://www.ikea.com/ext/ingkadam/m/77d77ef64d94943d/original/PH159252-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/sinnerlig-pendant-lamp-bamboo-handmade-50342195/,
SNÖYRA 스뇌위라,"individuality, natural, romantic",조명,https://www.ikea.com/ext/ingkadam/m/53d25c4b4b52b64/original/PH160761-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/snoeyra-led-lighting-chain-with-40-lights-indoor-battery-operated-silver-colour-10421364/,
LISABO 리사보,"minimal, natural, useful",테이블,https://www.ikea.com/ext/ingkadam/m/6d131c9111093f2e/original/PH179628-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/lisabo-desk-ash-veneer-10361746/,
SKURUP 스쿠루프,"casual, individuality, useful",조명,https://www.ikea.com/ext/ingkadam/m/6d131c9111093f2e/original/PH179628-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/skurup-clamp-spotlight-black-40489965/,
RÖNNINGE 뢴닝에,"minimal, natural, vintage",의자,https://www.ikea.com/ext/ingkadam/m/6d131c9111093f2e/original/PH179628-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/roenninge-chair-birch-80400754/,
HELMER 헬메르,"individuality, minimal, useful",수납장,https://www.ikea.com/ext/ingkadam/m/6d131c9111093f2e/original/PH179628-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/helmer-drawer-unit-on-castors-white-90251046/,
GULLHULT 굴훌트,"natural, useful, vintage",수납장,https://www.ikea.com/ext/ingkadam/m/6d131c9111093f2e/original/PH179628-crop002.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/gullhult-wall-shelf-black-pine-antique-effect-40489022/,
VONSBÄK,"individuality, natural, vintage",러그,https://www.ikea.com/ext/ingkadam/m/7b3d47f0bb308bbf/original/PH161887-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/vonsbaek-rug-low-pile-green-30450039/,
https://ohou.se/brands/home?query=%EC%9E%A5%EB%AF%B8%EB%A7%A8%EC%88%80&affect_type=ProductSaleDetail&affect_id=744881,"natural, romantic, vintage",테이블,https://image.ohou.se/i/bucketplace-v2-development/uploads/cards/snapshots/164137932944774601.jpeg?gif=1&w=1536,https://ohou.se/productions/744881/selling,
FABRIKÖR 파브리셰르,"casual, individuality, useful",수납장,https://www.ikea.com/ext/ingkadam/m/3a6af02261e97dbb/original/PH148307-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/fabrikoer-glass-door-cabinet-black-blue-80363172/,
NÄVLINGE,"minimal, modern, natural",조명,https://www.ikea.com/ext/ingkadam/m/81e9c09a7ad61d0/original/PH179221-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/naevlinge-led-work-lamp-black-10404915/,
FJÄLLBO,"minimal, modern, useful",테이블,https://www.ikea.com/ext/ingkadam/m/81e9c09a7ad61d0/original/PH179221-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/fjaellbo-laptop-table-black-10339736/,
ODGER,"casual, minimal, modern",의자,https://www.ikea.com/ext/ingkadam/m/81e9c09a7ad61d0/original/PH179221-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/odger-swivel-chair-anthracite-70395263/,
FJÄLLBO,"minimal, modern, useful",수납장,https://www.ikea.com/ext/ingkadam/m/81e9c09a7ad61d0/original/PH179221-crop001.jpg?f=l,https://www.ikea.com/jp/en/p/fjaellbo-shelving-unit-black-90342198/,
https://ohou.se/brands/home?query=%EC%95%84%EC%B9%B4%EC%9D%B4%EB%B2%84&affect_type=ProductSaleDetail&affect_id=630881,"casual, natural, romantic",잡화,https://image.ohou.se/i/bucketplace-v2-development/uploads/cards/snapshots/164137932944774601.jpeg?gif=1&w=1536,https://ohou.se/productions/630881/selling,
https://ohou.se/brand_pages/23/home?affect_type=ProductSaleDetail&affect_id=82112,"natural, romantic, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1545960910_115704_1.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/82112/selling?affect_type=StoreSearchResult&affect_id=39,
캐더린 LED 통서랍 수납침대 SS/Q,"natural, useful, vintage",침대,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162676121775574674.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/310649/selling,
https://ohou.se/brands/home?query=%EC%95%84%EB%8A%91&affect_type=ProductSaleDetail&affect_id=762435,"minimal, modern, useful",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448016039_h2GeO.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/762435/selling?affect_type=StoreSearchResult&affect_id=120,
https://ohou.se/brands/home?query=%EB%82%98%EB%88%84%EB%B2%A8&affect_type=ProductSaleDetail&affect_id=847779,"individuality, minimal, modern",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162193245838993039.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/847779/selling?affect_type=StoreSearchResult&affect_id=127,
호텔소파원단 패브릭 소파베드 3colors (쿠션증정),"casual, modern, useful",침대,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1561105403576_wW7.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/138320/selling,
https://ohou.se/brands/home?query=%EC%83%81%EC%9D%BC%EB%A6%AC%EB%B2%A0%EA%B0%80%EA%B5%AC&affect_type=ProductSaleDetail&affect_id=322900,"minimal, natural, useful",수납장,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159039194084726881.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/322900/selling?affect_type=StoreSearchResult&affect_id=134,
도로모 12T 포셀린 통세라믹 4인용 식탁세트,"casual, minimal, modern",테이블,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162278669912015933.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/864464/selling,
https://ohou.se/brands/home?query=%EB%AC%B4%EC%95%84%EC%8A%A4&affect_type=ProductSaleDetail&affect_id=1088454,"minimal, natural, useful",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163651087203147499.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/1088454/selling?affect_type=StoreSearchResult&affect_id=152,
https://ohou.se/brands/home?query=%EB%B2%A0%EB%85%B8%EC%8B%9D%EC%8A%A4&affect_type=ProductSaleDetail&affect_id=1034531,"individuality, natural, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163331540577431828.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/1034531/selling?affect_type=StoreSearchResult&affect_id=160,
https://ohou.se/brands/home?query=%EB%AF%B8%EC%86%8C%EC%95%84%EC%9D%B4&affect_type=ProductSaleDetail&affect_id=451580,"minimal, modern, useful",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159773536766839959.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/451580/selling?affect_type=StoreSearchResult&affect_id=169,
https://ohou.se/brands/home?query=%EC%A3%BC%EB%B9%8C%EB%A6%AC%EA%B0%80%EA%B5%AC&affect_type=ProductSaleDetail&affect_id=510136,"casual, minimal, natural",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160214677598010509.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/510136/selling?affect_type=StoreSearchResult&affect_id=187,
완소각소 팔각 골드 전신거울,"individuality, natural, romantic",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160488675162012367.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/220010/selling?affect_type=StoreSearchResult&affect_id=194,
모듈가구 003(3단) 6colors,"minimal, romantic, vintage",수납장,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162303802572522809.jpeg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/594962/selling,
https://ohou.se/brands/home?query=%EC%A7%84%EC%8B%AC%EB%94%94%EC%9E%90%EC%9D%B8&affect_type=ProductSaleDetail&affect_id=169803,"natural, useful, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/sub_images/156651661347926228.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/169803/selling?affect_type=StoreSearchResult&affect_id=198,
https://ohou.se/brands/home?query=%EB%A9%94%EC%9D%B8%ED%99%88&affect_type=ProductSaleDetail&affect_id=577657,"individuality, romantic, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160583142820121873.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/577657/selling?affect_type=StoreSearchResult&affect_id=259,
https://ohou.se/brands/home?query=lifebox&affect_type=ProductSaleDetail&affect_id=633583,"casual, individuality, romantic",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160930568559476201.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/633583/selling?affect_type=StoreSearchResult&affect_id=291,
https://ohou.se/brands/home?query=%EC%95%8C%EB%A1%9C%ED%95%98%EA%B0%90%EC%84%B1&affect_type=ProductSaleDetail&affect_id=315945,"individuality, minimal, modern",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158994899118065400.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/315945/selling?affect_type=StoreSearchResult&affect_id=300,
https://ohou.se/brands/home?query=%EA%B5%AC%EB%94%94%ED%91%B8%EB%94%94&affect_type=ProductSaleDetail&affect_id=1050249,"casual, individuality, romantic",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/163428712946654040.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/1050249/selling?affect_type=StoreSearchResult&affect_id=301,
리벌티 장스탠드,"minimal, romantic, vintage",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160082370001373450.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/491817/selling?affect_type=ProductCategoryIndex&affect_id=,
https://ohou.se/brands/home?query=%EC%B1%84%EC%9A%B0%EB%A6%AC&affect_type=ProductSaleDetail&affect_id=445585,"individuality, romantic, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448037713_qNyWN.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/445585/selling?affect_type=StoreSearchResult&affect_id=305,
https://ohou.se/brands/home?query=%EB%AF%B8%EC%8A%A4%EB%AA%A8%EB%84%A4&affect_type=ProductSaleDetail&affect_id=891326,"individuality, romantic, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162443484759218442.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/891326/selling?affect_type=StoreSearchResult&affect_id=312,
LERSTA 레르스타 장스탠드,"individuality, minimal, modern",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/images/163263804036180290.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/1024870/selling?affect_type=ProductCategoryIndex&affect_id=,
린다 깃털 구스 장스탠드 조명,"casual, individuality, romantic",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158926088608879937.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/61066/selling?affect_type=ProductCategoryIndex&affect_id=,
https://ohou.se/brands/home?query=%EB%93%9C%EC%9B%B0%EB%A7%81%EC%BB%B4%ED%8D%BC%EB%8B%88&affect_type=ProductSaleDetail&affect_id=254275,"individuality, romantic, vintage",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158509543254162025.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/254275/selling?affect_type=StoreSearchResult&affect_id=313,
랑스 1등 플로어 장스탠드 조명,"minimal, useful, vintage",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1544684580159_q9.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/80155/selling?affect_type=ProductCategoryIndex&affect_id=,
https://ohou.se/brands/home?query=%EA%B1%B0%EC%9A%B8%EB%AF%B8%EC%9D%B8&affect_type=ProductSaleDetail&affect_id=890604,"minimal, natural, romantic",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162400034849374040.JPG?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/890604/selling?affect_type=StoreSearchResult&affect_id=314,
앰플 9등 펜던트 조명_골드,"casual, individuality, romantic",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157863954333098362.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/229953/selling?affect_type=ProductCategoryIndex&affect_id=,
https://ohou.se/brands/home?query=%ED%92%80%EC%94%A8&affect_type=ProductSaleDetail&affect_id=658443,"natural, romantic, useful",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161095533087608102.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/658443/selling?affect_type=StoreSearchResult&affect_id=320,
우리집 속 불멍 벽난로 무드등,"individuality, natural, vintage",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160282039286137158.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/233366/selling?affect_type=ProductCategoryIndex&affect_id=,
https://ohou.se/brands/home?query=%EB%A8%BC%EB%8D%B0%EC%9D%B4%ED%95%98%EC%9A%B0%EC%8A%A4&affect_type=ProductSaleDetail&affect_id=119208,"casual, natural, useful",거울,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1556807147985_d1b.jpg?gif=1&w=1280&h=1280&c=c,https://ohou.se/productions/119208/selling?affect_type=StoreSearchResult&affect_id=322,
